"TERM","GENE"
"GO:0086004","MPG"
"GO:0060048","BCOR"
"GO:1903313","JPT2"
"GO:0071214","SNRPE"
"GO:0104004","RGPD3"
"GO:0043388","RGPD4"
"GO:0016571","PTBP1"
"GO:0021762","PTBP3"
"GO:0000028","A2ML1"
"GO:0015868","SNRPN"
"GO:0010644","SNRPB"
"GO:0016056","RPL7"
"GO:0010951","RPL23A"
"GO:0043903","ALDOC"
"GO:0090307","MATR3"
"GO:0001889","ZNF593"
"GO:0006284","SRRM1"
"GO:0006378","CSNK1E"
"GO:0071364","CSNK1D"
"GO:0031100","EWSR1"
"GO:0042752","ARCN1"
"GO:0051346","RAC3"
"GO:1904356","RAC2"
"GO:0055117","RAC1"
"GO:0010107","MCM5"
"GO:0015865","CAPZB"
"GO:0061008","CLK2"
"GO:0009116","MYH11"
"GO:0034614","MYH14"
"GO:0071236","MYH7"
"GO:0043631","MYH3"
"GO:1901606","MYH7B"
"GO:1901989","HNRNPC"
"GO:0006310","HNRNPCL4"
"GO:0045861","HNRNPCL1"
"GO:0006360","HNRNPCL3"
"GO:0042274","HNRNPCL2"
"GO:0006937","JMJD6"
"GO:0006448","ZCCHC10"
"GO:0016074","TIMM23B"
"GO:0046653","TIMM23"
"GO:0007051","CTNNB1"
"GO:1903115","SEC61A1"
"GO:0006356","SEC61A2"
"GO:0050685","PTPN1"
"GO:0010466","CCT3"
"GO:0045787","ACTR3"
"GO:0017038","FXR1"
"GO:0006144","FXR2"
"GO:0046716","ILF2"
"GO:1901992","CDCA5"
"GO:1904589","PES1"
"GO:0007603","SEPT2"
"GO:0030262","RAN"
"GO:0032212","EIF3C"
"GO:0051235","EIF3CL"
"GO:1903829","HDAC9"
"GO:0006260","RPL31"
"GO:0007016","DDX27"
"GO:0015851","ETF1"
"GO:0032070","AGPS"
"GO:0033860","INO80B"
"GO:0045876","INO80B-WBP1"
"GO:1902415","HSPE1"
"GO:1903405","HSPE1-MOB4"
"GO:1904851","PTMA"
"GO:1904867","IMP4"
"GO:0034504","USP39"
"GO:0008360","MDH1"
"GO:0051290","RPL23"
"GO:0097345","GFM1"
"GO:0007052","EEF1E1"
"GO:0006479","EEF1E1-BLOC1S5"
"GO:0008213","ING2"
"GO:0042440","RPL37AP8"
"GO:0071479","ARHGAP31"
"GO:0000387","GNB4"
"GO:0035637","GNB2"
"GO:0006921","IDI1"
"GO:0033572","RANBP1"
"GO:0032069","NSDHL"
"GO:0045109","APOD"
"GO:0046823","ATP5J2"
"GO:0048026","ATP5MF-PTCD1"
"GO:0043414","ATP5MF"
"GO:0050792","RNPEP"
"GO:0030004","RPL24"
"GO:0043200","CCNL1"
"GO:0003334","CCNL2"
"GO:0006268","PQBP1"
"GO:0019042","ARL6IP5"
"GO:0031340","C7orf50"
"GO:0070203","CKMT1B"
"GO:0035690","KPNA6"
"GO:0090257","KPNA1"
"GO:1901987","KPNA5"
"GO:0002082","SYPL1"
"GO:0006862","RPL22L1"
"GO:0010499","EEF1B2"
"GO:0045931","RPL35A"
"GO:0032259","SSBP1"
"GO:0031397","RPL32"
"GO:0015682","ACP1"
"GO:0072512","HMGB2"
"GO:0052547","HMCES"
"GO:0016569","TMEM33"
"GO:0032922","SFXN1"
"GO:0070301","RPL9"
"GO:1900542","MRPL27"
"GO:0055067","CANX"
"GO:0052548","NHP2"
"GO:0048545","RIOX2"
"GO:0002227","JCHAIN"
"GO:0031639","FGB"
"GO:1900739","CSNK1A1"
"GO:1900740","EXOSC9"
"GO:0071248","ERLIN2"
"GO:0007062","ERLIN1"
"GO:0006563","RPL30"
"GO:0061684","G6PD"
"GO:0070202","ASAH1"
"GO:1902414","AP1M1"
"GO:1904816","COL6A3"
"GO:1905214","CCT5"
"GO:1990173","SEPT7"
"GO:2001233","SEPT14"
"GO:0071383","PRRC2C"
"GO:0032482","LTF"
"GO:0007059","EZR"
"GO:0090068","RDX"
"GO:0019079","ZC3H18"
"GO:0009119","BPTF"
"GO:1902110","TCOF1"
"GO:0009895","CSNK2A1"
"GO:0097193","CSNK2A3"
"GO:0034109","MAP4"
"GO:1903900","PBRM1"
"GO:1903522","SDAD1"
"GO:0009063","EIF4B"
"GO:0006309","NACA"
"GO:0006730","ALYREF"
"GO:0006446","HK2"
"GO:1903779","HK1"
"GO:0006140","LMNB1"
"GO:2000379","RBBP7"
"GO:0001580","HNRNPH1"
"GO:0030836","SMC4"
"GO:0016570","FUBP1"
"GO:0007602","TBL2"
"GO:1902686","NOP14"
"GO:1901657","PIAS3"
"GO:0010954","ANXA5"
"GO:0048169","NXF1"
"GO:0006839","PHRF1"
"GO:0007584","BCLAF1"
"GO:0043536","PYGL"
"GO:0002437","PYGB"
"GO:0045910","PYGM"
"GO:1901990","PRMT1"
"GO:0008277","PRMT8"
"GO:0010212","NDUFS8"
"GO:0010882","UBTF"
"GO:0031440","RAB1B"
"GO:1902749","NPEPPS"
"GO:0009584","NPEPPSL1"
"GO:0035794","RPL27A"
"GO:0007212","MDK"
"GO:0031396","COPB1"
"GO:0034502","RPS2"
"GO:0010755","RHOC"
"GO:0019081","NUP160"
"GO:0043558","CCT2"
"GO:0048857","ATP6V0D1"
"GO:0097194","KDM5A"
"GO:0001844","KDM5D"
"GO:0006760","KDM5C"
"GO:0009065","PUS1"
"GO:0045822","UBAP2"
"GO:1903319","SEC23A"
"GO:0006119","TUBA1C"
"GO:1902108","DDX55"
"GO:1905710","CPSF7"
"GO:1903321","MYO1C"
"GO:0048511","GANAB"
"GO:0006418","DSTN"
"GO:0050913","TINAGL1"
"GO:0043467","NAT10"
"GO:1902275","ATRX"
"GO:1903363","DDX46"
"GO:0042306","HMGB1P1"
"GO:0006978","SELENOI"
"GO:0009209","RPL37A"
"GO:0018158","FUT8"
"GO:0043508","PDIA3"
"GO:0043650","PPAN"
"GO:0090151","KRT19"
"GO:1904874","CLIC1"
